calorias_diarias,proteina_g,carbohidratos_g,grasas_g
2484.1,186.3,248.4,82.8
1822.5,136.7,182.2,60.8
1859.7,139.5,186.0,62.0
2197.2,164.8,219.7,73.2
2864.9,214.9,286.5,95.5
3021.6,226.6,302.2,100.7
2594.9,194.6,259.5,86.5
2567.3,192.5,256.7,85.6
2231.1,167.3,223.1,74.4
2478.6,185.9,247.9,82.6
1923.2,144.2,192.3,64.1
2347.9,176.1,234.8,78.3
2593.1,194.5,259.3,86.4
2203.9,165.3,220.4,73.5
3201.6,240.1,320.2,106.7
3101.3,232.6,310.1,103.4
2577.1,193.3,257.7,85.9
2245.7,168.4,224.6,74.9
3072.5,230.4,307.2,102.4
3517.8,263.8,351.8,117.3
2822.9,211.7,282.3,94.1
1906.1,143.0,190.6,63.5
2282.5,171.2,228.2,76.1
1362.6,102.2,136.3,45.4
1640.7,123.0,164.1,54.7
3024.4,226.8,302.4,100.8
3132.8,235.0,313.3,104.4
3259.2,244.4,325.9,108.6
3295.2,247.1,329.5,109.8
1804.0,135.3,180.4,60.1
2395.8,179.7,239.6,79.9
1455.3,109.1,145.5,48.5
1470.4,110.3,147.0,49.0
2349.0,176.2,234.9,78.3
2260.0,169.5,226.0,75.3
1986.1,149.0,198.6,66.2
1478.9,110.9,147.9,49.3
1986.6,149.0,198.7,66.2
3065.8,229.9,306.6,102.2
2471.4,185.4,247.1,82.4
2108.4,158.1,210.8,70.3
2537.1,190.3,253.7,84.6
2308.4,173.1,230.8,76.9
1878.5,140.9,187.8,62.6
2359.1,176.9,235.9,78.6
2463.5,184.8,246.3,82.1
1763.6,132.3,176.4,58.8
2554.0,191.6,255.4,85.1
2160.5,162.0,216.0,72.0
1890.3,141.8,189.0,63.0
2601.2,195.1,260.1,86.7
2295.6,172.2,229.6,76.5
2390.4,179.3,239.0,79.7
2946.7,221.0,294.7,98.2
2382.5,178.7,238.3,79.4
1524.0,114.3,152.4,50.8
1904.6,142.8,190.5,63.5
3140.7,235.6,314.1,104.7
2830.3,212.3,283.0,94.3
2120.7,159.1,212.1,70.7
2121.8,159.1,212.2,70.7
2187.2,164.0,218.7,72.9
3320.0,249.0,332.0,110.7
2136.2,160.2,213.6,71.2
1764.1,132.3,176.4,58.8
2126.1,159.5,212.6,70.9
3258.8,244.4,325.9,108.6
1983.0,148.7,198.3,66.1
1779.5,133.5,178.0,59.3
2569.8,192.7,257.0,85.7
2877.5,215.8,287.7,95.9
2540.7,190.5,254.1,84.7
2309.5,173.2,231.0,77.0
1789.5,134.2,179.0,59.7
1997.3,149.8,199.7,66.6
1472.1,110.4,147.2,49.1
1800.4,135.0,180.0,60.0
3906.9,293.0,390.7,130.2
1936.6,145.2,193.7,64.6
2611.7,195.9,261.2,87.1
2470.8,185.3,247.1,82.4
3183.4,238.8,318.3,106.1
1612.5,120.9,161.2,53.8
1826.6,137.0,182.7,60.9
1475.3,110.7,147.5,49.2
1200.0,90.0,120.0,40.0
2309.6,173.2,231.0,77.0
3235.7,242.7,323.6,107.9
1630.4,122.3,163.0,54.3
