edad,sexo,altura_cm,peso_kg,nivel_actividad,objetivo,calorias_diarias,proteina_g,carbohidratos_g,grasas_g
48,mujer,193.2,108.2,muy_intenso,subir,3988.1,299.1,398.8,132.9
27,hombre,190.7,72.3,muy_intenso,bajar,2891.3,216.8,289.1,96.4
21,hombre,191.9,81.9,ligero,subir,3037.8,227.8,303.8,101.3
57,hombre,167.1,45.3,moderado,bajar,1386.9,104.0,138.7,46.2
48,hombre,184.8,67.8,muy_intenso,bajar,2536.2,190.2,253.6,84.5
64,mujer,151.6,50.6,ligero,mantener,1337.2,100.3,133.7,44.6
60,hombre,151.2,65.8,sedentario,subir,1969.6,147.7,197.0,65.7
28,hombre,159.6,75.2,ligero,subir,2619.9,196.5,262.0,87.3
31,mujer,187.5,57.5,intenso,subir,2868.3,215.1,286.8,95.6
53,hombre,174.6,56.8,intenso,bajar,1913.7,143.5,191.4,63.8
48,mujer,191.0,92.0,intenso,subir,3354.5,251.6,335.4,111.8
51,mujer,178.8,69.1,sedentario,bajar,1200,90.0,120.0,40.0
61,mujer,187.2,98.9,muy_intenso,bajar,2716.7,203.8,271.7,90.6
47,mujer,160.8,69.3,ligero,mantener,1790.2,134.3,179.0,59.7
41,mujer,192.2,95.7,intenso,subir,3491.6,261.9,349.2,116.4
49,hombre,171.5,72.1,ligero,bajar,1635.2,122.6,163.5,54.5
54,hombre,152.9,101.5,sedentario,mantener,2046.8,153.5,204.7,68.2
52,mujer,172.7,69.5,ligero,bajar,1360.9,102.1,136.1,45.4
49,hombre,180.0,101.8,intenso,bajar,2782.7,208.7,278.3,92.8
23,hombre,164.9,70.6,moderado,mantener,2521.3,189.1,252.1,84.0
25,hombre,191.1,101.3,sedentario,bajar,2004.8,150.4,200.5,66.8
42,hombre,193.8,64.0,intenso,bajar,2339.8,175.5,234.0,78.0
20,hombre,150.4,70.4,intenso,subir,3072.0,230.4,307.2,102.4
33,hombre,171.8,72.6,sedentario,mantener,1967.7,147.6,196.8,65.6
21,hombre,160.4,47.2,ligero,bajar,1389.9,104.2,139.0,46.3
43,hombre,174.6,81.9,sedentario,bajar,1540.3,115.5,154.0,51.3
43,mujer,167.5,99.3,sedentario,mantener,1996.6,149.7,199.7,66.6
27,mujer,183.5,98.7,ligero,subir,2927.1,219.5,292.7,97.6
47,hombre,194.0,71.9,muy_intenso,subir,3632.8,272.5,363.3,121.1
45,mujer,190.6,63.4,muy_intenso,bajar,2234.6,167.6,223.5,74.5
65,mujer,152.3,71.7,ligero,bajar,1200,90.0,120.0,40.0
57,mujer,163.9,65.1,intenso,mantener,2120.7,159.1,212.1,70.7
19,mujer,150.9,72.7,muy_intenso,subir,3086.8,231.5,308.7,102.9
25,mujer,168.1,108.9,intenso,mantener,3197.5,239.8,319.8,106.6
50,hombre,157.0,81.7,ligero,bajar,1635.7,122.7,163.6,54.5
37,mujer,184.2,50.8,sedentario,mantener,1575.9,118.2,157.6,52.5
61,mujer,164.9,105.6,intenso,bajar,2295.6,172.2,229.6,76.5
51,mujer,164.9,79.7,moderado,subir,2588.0,194.1,258.8,86.3
22,hombre,167.9,83.9,sedentario,subir,2540.0,190.5,254.0,84.7
48,hombre,155.3,97.2,intenso,mantener,2945.7,220.9,294.6,98.2
63,hombre,151.3,93.0,ligero,bajar,1652.7,124.0,165.3,55.1
57,hombre,168.7,47.7,intenso,bajar,1658.6,124.4,165.9,55.3
59,hombre,182.9,51.5,muy_intenso,bajar,2099.4,157.5,209.9,70.0
31,hombre,186.4,79.8,ligero,bajar,1992.9,149.5,199.3,66.4
37,mujer,175.1,101.2,sedentario,subir,2512.4,188.4,251.2,83.7
23,hombre,162.1,61.0,intenso,mantener,2610.1,195.8,261.0,87.0
59,mujer,194.7,82.2,muy_intenso,subir,3407.5,255.6,340.7,113.6
21,hombre,171.7,80.6,ligero,mantener,2446.3,183.5,244.6,81.5
44,mujer,193.6,103.2,intenso,mantener,3210.2,240.8,321.0,107.0
45,hombre,189.0,54.8,intenso,bajar,2103.5,157.8,210.3,70.1
40,hombre,152.2,82.7,moderado,mantener,2454.0,184.1,245.4,81.8
55,hombre,164.0,72.9,moderado,bajar,1800.2,135.0,180.0,60.0
41,mujer,182.5,90.6,intenso,mantener,2899.1,217.4,289.9,96.6
18,hombre,180.9,47.2,sedentario,subir,2221.1,166.6,222.1,74.0
58,mujer,155.3,74.7,intenso,bajar,1684.9,126.4,168.5,56.2
57,hombre,153.9,61.1,sedentario,subir,1951.5,146.4,195.1,65.0
57,hombre,173.0,54.1,intenso,subir,2715.4,203.7,271.5,90.5
19,hombre,175.1,74.7,moderado,mantener,2714.6,203.6,271.5,90.5
38,hombre,170.5,86.8,sedentario,bajar,1598.3,119.9,159.8,53.3
20,mujer,186.5,71.5,sedentario,bajar,1443.5,108.3,144.4,48.1
18,hombre,186.2,85.9,ligero,bajar,2164.4,162.3,216.4,72.1
28,hombre,188.2,104.2,sedentario,bajar,1999.9,150.0,200.0,66.7
41,mujer,194.3,45.1,sedentario,mantener,1559.2,116.9,155.9,52.0
